stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
3996,3996,Damru Ustad Chouraha,Damru Ustad Chouraha,,22.74606,75.8687,,,0,,Asia/Kolkata,0,,,
3997,3997,Dashrath Bagh,Dashrath Bagh,,22.74835,75.83614,,,0,,Asia/Kolkata,0,,,
3998,3998,Dutt Mandir,Dutt Mandir,,22.66706,75.8256,,,0,,Asia/Kolkata,0,,,
3999,3999,D A V V,D A V V,,22.68915,75.87031,,,0,,Asia/Kolkata,0,,,
4000,4000,Dawa Bazar,Dawa Bazar,,22.71371,75.87587,,,0,,Asia/Kolkata,0,,,
4001,4001,Dewas Naka,Dewas Naka,,22.77189,75.90188,,,0,,Asia/Kolkata,0,,,
4003,4003,GPO City Bus,GPO City Bus,,22.70746,75.87884,,,0,,Asia/Kolkata,0,,,
4006,4006,Gayatri Mandir,Gayatri Mandir,,22.72321,75.89301,,,0,,Asia/Kolkata,0,,,
4008,4008,Girdhar Mahal,Girdhar Mahal,,22.74929,75.89009,,,0,,Asia/Kolkata,0,,,
4009,4009,Gopur Square,Gopur Square,,22.68422,75.82914,,,0,,Asia/Kolkata,0,,,
4010,4010,GOMATGIRI CHOURAHA,GOMATGIRI CHOURAHA,,22.74245,75.77641,,,0,,Asia/Kolkata,0,,,
4011,4011,Gouri Nagar,Gouri Nagar,,22.75462,75.86985,,,0,,Asia/Kolkata,0,,,
4012,4012,Gumasta Nagar/Arihant Hospital,Gumasta Nagar/Arihant Hospital,,22.69719,75.83247,,,0,,Asia/Kolkata,0,,,
4013,4013,Gurudwara,Gurudwara,,22.71626,75.85539,,,0,,Asia/Kolkata,0,,,
4014,4014,Hanuman Mandir,Hanuman Mandir,,22.71151,75.90582,,,0,,Asia/Kolkata,0,,,
4015,4015,Shri Pandharinath Mandir_2,Shri Pandharinath Mandir_2,,22.71342,75.85589,,,0,,Asia/Kolkata,0,,,
4016,4016,Hawa Bangla,Hawa Bangla,,22.68355,75.82227,,,0,,Asia/Kolkata,0,,,
4017,4017,City Centre / High Court_1,City Centre / High Court_1,,22.72077,75.874,,,0,,Asia/Kolkata,0,,,
4019,4019,Hiranagar,Hiranagar,,22.7589,75.87609,,,0,,Asia/Kolkata,0,,,
4020,4020,Holkar City Bus,Holkar City Bus,,22.69419,75.8705,,,0,,Asia/Kolkata,0,,,
4022,4022,IET/SOPA,IET/SOPA,,22.6809,75.87598,,,0,,Asia/Kolkata,0,,,
4024,4024,Imli Bazar,Imli Bazar,,22.72286,75.85393,,,0,,Asia/Kolkata,0,,,
4025,4025,Indraprastha Tower,Indraprastha Tower,,22.72278,75.88235,,,0,,Asia/Kolkata,0,,,
4028,4028,Jabran Colony/Juni Indore,Jabran Colony/Juni Indore,,22.7077,75.85902,,,0,,Asia/Kolkata,0,,,
4031,4031,Zam Zam Chouraha,Zam Zam Chouraha,,22.73184,75.91324,,,0,,Asia/Kolkata,0,,,
4032,4032,Janjir Wala,Janjir Wala,,22.72655,75.88103,,,0,,Asia/Kolkata,0,,,
4033,4033,Jawahar Tekri,Jawahar Tekri,,22.69676,75.78635,,,0,,Asia/Kolkata,0,,,
4034,4034,Jila Hospital,Jila Hospital,,22.70956,75.83054,,,0,,Asia/Kolkata,0,,,
4036,4036,Kankad,Kankad,,22.7795,75.85702,,,0,,Asia/Kolkata,0,,,
4037,4037,Kalani Nagar,Kalani Nagar,,22.7248,75.82447,,,0,,Asia/Kolkata,0,,,
4039,4039,Kali Puliya,Kali Puliya,,22.69788,75.89078,,,0,,Asia/Kolkata,0,,,
4042,4042,Kasturba Gram,Kasturba Gram,,22.64545,75.88745,,,0,,Asia/Kolkata,0,,,
4043,4043,Kesharbagh Bridge,Kesharbagh Bridge,,22.68246,75.84427,,,0,,Asia/Kolkata,0,,,
4044,4044,Khada Ganpati,Khada Ganpati,,22.73699,75.84698,,,0,,Asia/Kolkata,0,,,
4045,4045,Khajrana Dargah,Khajrana Dargah,,22.73639,75.91452,,,0,,Asia/Kolkata,0,,,
4046,4046,Khajrana Ganesh Mandir,Khajrana Ganesh Mandir,,22.73085,75.90775,,,0,,Asia/Kolkata,0,,,
4047,4047,Khajrana Ring Road 1,Khajrana Ring Road 1,,22.7308,75.90276,,,0,,Asia/Kolkata,0,,,
4049,4049,Khajrana Ring Road,Khajrana Ring Road,,22.73217,75.90206,,,0,,Asia/Kolkata,0,,,
4050,4050,Khajrana Ring Road 5,Khajrana Ring Road 5,,22.73165,75.90239,,,0,,Asia/Kolkata,0,,,
4054,4054,Shree Krishna Talkies/ Krishnapura Pul_1,Shree Krishna Talkies/ Krishnapura Pul_1,,22.71993,75.85927,,,0,,Asia/Kolkata,0,,,
4056,4056,Lasudiya,Lasudiya,,22.78526,75.90584,,,0,,Asia/Kolkata,0,,,
4057,4057,Laxmi Pump,Laxmi Pump,,22.77471,75.90269,,,0,,Asia/Kolkata,0,,,
4058,4058,Lanturn Chouraha,Lanturn Chouraha,,22.72451,75.87419,,,0,,Asia/Kolkata,0,,,
4060,4060,LIG,LIG,,22.73396,75.88969,,,0,,Asia/Kolkata,0,,,
4061,4061,Limbodi/Ashram,Limbodi/Ashram,,22.66851,75.8819,,,0,,Asia/Kolkata,0,,,
4062,4062,Lokhande Bridge,Lokhande Bridge,,22.72849,75.85966,,,0,,Asia/Kolkata,0,,,
4063,4063,Luv Kush / MR 10 SQ,Luv Kush / MR 10 SQ,,22.78996,75.84743,,,0,,Asia/Kolkata,0,,,
4064,4064,Nehru Stadium/MY Hospital Bus Std,Nehru Stadium/MY Hospital Bus Std,,22.71139,75.88066,,,0,,Asia/Kolkata,0,,,
4065,4065,M.O.G Line,M.O.G Line,,22.70871,75.84163,,,0,,Asia/Kolkata,0,,,
4066,4066,MR 10/ Chandragupt mourya square,MR 10/ Chandragupt mourya square,,22.76408,75.87101,,,0,,Asia/Kolkata,0,,,
4067,4067,M.T.H._2,M.T.H._2,,22.71883,75.86425,,,0,,Asia/Kolkata,0,,,
4068,4068,M.Y. Hospital Gate,M.Y. Hospital Gate,,22.71296,75.87857,,,0,,Asia/Kolkata,0,,,
4070,4070,Machli Farm,Machli Farm,,22.6569,75.88516,,,0,,Asia/Kolkata,0,,,
4071,4071,Madhu Milan,Madhu Milan,,22.71397,75.87477,,,0,,Asia/Kolkata,0,,,
4073,4073,Mahalakshmi Nagar,Mahalakshmi Nagar,,22.75374,75.90734,,,0,,Asia/Kolkata,0,,,
